antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Low",Overall_Severity_Overall_Low,0.13,0.21,0.065,0.5,2.380952380952381,1.0,0.0377,1.58,0.6666666666666666,0.2363636363636364,0.3670886075949367,0.40476190476190477
"Energy_Recovery_Level_Low_Recovery, Water_Severity_Water_Low, Soil_Severity_Soil_Low",Overall_Severity_Overall_Low,0.1,0.21,0.05,0.5,2.380952380952381,1.0,0.029,1.58,0.6444444444444444,0.19230769230769232,0.3670886075949367,0.36904761904761907
"Air_Severity_Air_Medium, Water_Severity_Water_Low",Overall_Severity_Overall_Low,0.185,0.21,0.09,0.48648648648648646,2.3166023166023164,1.0,0.05115,1.5384210526315787,0.6973415132924335,0.2950819672131147,0.34998289428669166,0.4575289575289575
Overall_Severity_Overall_Low,"Air_Severity_Air_Medium, Water_Severity_Water_Low",0.21,0.185,0.09,0.42857142857142855,2.3166023166023164,1.0,0.05115,1.42625,0.719409282700422,0.2950819672131147,0.2988606485539001,0.4575289575289575
"Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low, Water_Severity_Water_Low",Overall_Severity_Overall_Low,0.11,0.21,0.05,0.4545454545454546,2.164502164502165,1.0,0.026900000000000004,1.4483333333333335,0.604494382022472,0.18518518518518517,0.30955120828538557,0.34632034632034636
"Energy_Recovery_Level_Low_Recovery, Overall_Severity_Overall_Low","Air_Severity_Air_Medium, Soil_Severity_Soil_Low",0.075,0.31,0.05,0.6666666666666667,2.1505376344086025,1.0,0.026750000000000003,2.0700000000000003,0.5783783783783784,0.14925373134328357,0.5169082125603867,0.413978494623656
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Medium",Energy_Consumption_Level_Low_Consumption,0.07,0.335,0.05,0.7142857142857143,2.1321961620469083,1.0,0.02655,2.3275,0.5709677419354839,0.14084507042253522,0.5703544575725027,0.43176972281449894
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Medium",Energy_Consumption_Level_Low_Consumption,0.07,0.335,0.05,0.7142857142857143,2.1321961620469083,1.0,0.02655,2.3275,0.5709677419354839,0.14084507042253522,0.5703544575725027,0.43176972281449894
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery","Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption",0.14,0.27,0.08,0.5714285714285714,2.1164021164021163,1.0,0.042199999999999994,1.7033333333333331,0.6133720930232557,0.24242424242424243,0.4129158512720156,0.43386243386243384
"Energy_Recovery_Level_High_Recovery, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.07,0.405,0.06,0.857142857142857,2.116402116402116,1.0,0.03165,4.164999999999996,0.5672043010752689,0.14457831325301204,0.7599039615846336,0.5026455026455026
"Air_Severity_Air_High, Energy_Consumption_Level_Low_Consumption, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery",0.09,0.265,0.05,0.5555555555555556,2.0964360587002098,1.0,0.026150000000000003,1.65375,0.5747252747252747,0.1639344262295082,0.39531368102796677,0.3721174004192872
"Energy_Consumption_Level_Low_Consumption, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.065,0.405,0.055,0.8461538461538461,2.0892687559354224,1.0,0.028675,3.8674999999999997,0.5576081672338357,0.1325301204819277,0.7414350355526825,0.49097815764482433
"Air_Severity_Air_Medium, Energy_Recovery_Level_Low_Recovery, Soil_Severity_Soil_Low",Overall_Severity_Overall_Low,0.115,0.21,0.05,0.43478260869565216,2.070393374741201,1.0,0.02585,1.3976923076923076,0.584180790960452,0.18181818181818182,0.2845349477160154,0.3364389233954451
"Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.06,0.405,0.05,0.8333333333333334,2.05761316872428,1.0,0.0257,3.5700000000000007,0.5468085106382978,0.12048192771084337,0.7198879551820728,0.4783950617283951
"Air_Severity_Air_Medium, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.11,0.405,0.09,0.8181818181818181,2.02020202020202,1.0,0.04544999999999999,3.2724999999999986,0.5674157303370785,0.2117647058823529,0.6944232238349884,0.5202020202020201
"Air_Severity_Air_Medium, Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.11,0.405,0.09,0.8181818181818181,2.02020202020202,1.0,0.04544999999999999,3.2724999999999986,0.5674157303370785,0.2117647058823529,0.6944232238349884,0.5202020202020201
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery","Overall_Severity_Overall_Medium, Water_Severity_Water_Low",0.14,0.25,0.07,0.5,2.0,1.0,0.035,1.5,0.5813953488372093,0.21875000000000003,0.3333333333333333,0.39
"Air_Severity_Air_Medium, Overall_Severity_Overall_Low","Energy_Recovery_Level_Low_Recovery, Soil_Severity_Soil_Low",0.11,0.23,0.05,0.4545454545454546,1.9762845849802373,1.0,0.024700000000000003,1.4116666666666668,0.5550561797752809,0.17241379310344826,0.2916174734356553,0.3359683794466403
"Air_Severity_Air_Medium, Overall_Severity_Overall_Low","Energy_Consumption_Level_High_Consumption, Soil_Severity_Soil_Low",0.11,0.23,0.05,0.4545454545454546,1.9762845849802373,1.0,0.024700000000000003,1.4116666666666668,0.5550561797752809,0.17241379310344826,0.2916174734356553,0.3359683794466403
"Air_Severity_Air_High, Energy_Consumption_Level_Low_Consumption","Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery",0.155,0.265,0.08,0.5161290322580645,1.9476567255021302,1.0,0.038925,1.519,0.5758136094674557,0.23529411764705882,0.34167215273206053,0.4090079123554473
"Air_Severity_Air_High, Energy_Recovery_Level_Medium_Recovery","Overall_Severity_Overall_Medium, Energy_Consumption_Level_Medium_Consumption",0.125,0.27,0.065,0.52,1.9259259259259258,1.0,0.03125,1.5208333333333333,0.5494505494505494,0.19696969696969696,0.3424657534246575,0.38037037037037036
"Energy_Consumption_Level_High_Consumption, Overall_Severity_Overall_Low","Air_Severity_Air_Medium, Soil_Severity_Soil_Low",0.085,0.31,0.05,0.5882352941176471,1.8975332068311197,1.0,0.02365,1.6757142857142857,0.5169398907103825,0.14492753623188406,0.40323955669224215,0.3747628083491461
"Energy_Consumption_Level_High_Consumption, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.085,0.405,0.065,0.7647058823529411,1.8881626724763978,1.0,0.030574999999999998,2.528749999999999,0.514081546868432,0.15294117647058822,0.6045477014335144,0.4625998547567175
"Water_Severity_Water_Low, Overall_Severity_Overall_Low","Air_Severity_Air_Medium, Soil_Severity_Soil_Low",0.155,0.31,0.09,0.5806451612903225,1.8730489073881371,1.0,0.041949999999999994,1.645384615384615,0.5516107823800132,0.24,0.39223936418887323,0.4354838709677419
"Energy_Consumption_Level_High_Consumption, Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.08,0.405,0.06,0.75,1.8518518518518516,1.0,0.027599999999999993,2.38,0.4999999999999999,0.14117647058823526,0.5798319327731092,0.44907407407407407
Overall_Severity_Overall_Low,Water_Severity_Water_Low,0.21,0.405,0.155,0.7380952380952381,1.8224573780129336,1.0,0.06995,2.271818181818182,0.5712535728868926,0.33695652173913043,0.5598239295718288,0.560405643738977
"Air_Severity_Air_Medium, Soil_Severity_Soil_Medium","Energy_Recovery_Level_Medium_Recovery, Overall_Severity_Overall_Medium",0.145,0.265,0.07,0.48275862068965525,1.8217306441119065,1.0,0.031575000000000006,1.4210000000000003,0.5275689223057645,0.2058823529411765,0.29627023223082344,0.3734547820429408
"Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.19,0.405,0.14,0.736842105263158,1.819363222871995,1.0,0.06305000000000001,2.2610000000000006,0.5559964726631393,0.30769230769230776,0.557717823971694,0.5412605588044185
"Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Medium","Overall_Severity_Overall_Medium, Water_Severity_Water_Low",0.11,0.25,0.05,0.4545454545454546,1.8181818181818183,1.0,0.022500000000000003,1.375,0.5056179775280899,0.16129032258064518,0.27272727272727276,0.32727272727272727
"Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Medium","Overall_Severity_Overall_Medium, Water_Severity_Water_Low",0.11,0.25,0.05,0.4545454545454546,1.8181818181818183,1.0,0.022500000000000003,1.375,0.5056179775280899,0.16129032258064518,0.27272727272727276,0.32727272727272727
"Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Energy_Consumption_Level_Low_Consumption","Air_Severity_Air_High, Water_Severity_Water_Medium",0.115,0.24,0.05,0.43478260869565216,1.8115942028985508,1.0,0.022400000000000003,1.3446153846153845,0.5062146892655367,0.1639344262295082,0.2562929061784897,0.32155797101449274
"Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption",0.165,0.27,0.08,0.48484848484848486,1.7957351290684624,1.0,0.035449999999999995,1.4170588235294117,0.5306886227544909,0.22535211267605632,0.2943129929431299,0.39057239057239057
"Air_Severity_Air_High, Soil_Severity_Soil_Medium","Overall_Severity_Overall_Medium, Water_Severity_Water_Low",0.145,0.25,0.065,0.4482758620689656,1.7931034482758623,1.0,0.028750000000000005,1.359375,0.5173189383715701,0.19696969696969696,0.2643678160919541,0.35413793103448277
"Water_Severity_Water_Medium, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low","Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption",0.115,0.27,0.055,0.47826086956521735,1.7713365539452492,1.0,0.023949999999999996,1.3991666666666664,0.49203903441191565,0.16666666666666666,0.2852888624181059,0.3409822866344605
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low","Air_Severity_Air_High, Water_Severity_Water_Medium",0.165,0.24,0.07,0.42424242424242425,1.7676767676767677,1.0,0.030400000000000003,1.32,0.5201026518391788,0.20895522388059704,0.24242424242424246,0.35795454545454547
"Energy_Recovery_Level_Medium_Recovery, Soil_Severity_Soil_Medium","Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",0.115,0.345,0.07,0.6086956521739131,1.7643352236925018,1.0,0.030325000000000005,1.6738888888888892,0.4895076674737692,0.17948717948717952,0.4025887819449055,0.4057971014492754
"Energy_Recovery_Level_Low_Recovery, Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.07,0.405,0.05,0.7142857142857143,1.763668430335097,1.0,0.02165,2.0825,0.46559139784946235,0.11764705882352941,0.5198079231692677,0.41887125220458554
"Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Energy_Consumption_Level_Low_Consumption",Air_Severity_Air_High,0.115,0.4,0.08,0.6956521739130435,1.7391304347826086,1.0,0.033999999999999996,1.9714285714285713,0.4802259887005649,0.1839080459770115,0.49275362318840576,0.4478260869565217
"Water_Severity_Water_Medium, Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Low","Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery",0.12,0.265,0.055,0.45833333333333337,1.729559748427673,1.0,0.0232,1.356923076923077,0.47933884297520657,0.16666666666666666,0.2630385487528345,0.33294025157232704
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery",Energy_Consumption_Level_Low_Consumption,0.14,0.335,0.08,0.5714285714285714,1.7057569296375266,1.0,0.0331,1.5516666666666665,0.48110465116279066,0.20253164556962025,0.35553168635875393,0.4051172707889126
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery",Energy_Consumption_Level_Low_Consumption,0.14,0.335,0.08,0.5714285714285714,1.7057569296375266,1.0,0.0331,1.5516666666666665,0.48110465116279066,0.20253164556962025,0.35553168635875393,0.4051172707889126
"Air_Severity_Air_Medium, Energy_Recovery_Level_Medium_Recovery, Overall_Severity_Overall_Medium",Soil_Severity_Soil_Medium,0.125,0.33,0.07,0.56,1.696969696969697,1.0,0.028750000000000005,1.5227272727272727,0.46938775510204084,0.18181818181818182,0.34328358208955234,0.3860606060606061
Overall_Severity_Overall_Low,"Air_Severity_Air_Medium, Soil_Severity_Soil_Low",0.21,0.31,0.11,0.5238095238095238,1.6897081413210446,1.0,0.04490000000000001,1.449,0.51668584579977,0.26829268292682923,0.3098688750862665,0.4393241167434716
"Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Low, Overall_Severity_Overall_Medium",Soil_Severity_Soil_Medium,0.09,0.33,0.05,0.5555555555555556,1.6835016835016834,1.0,0.020300000000000002,1.5074999999999998,0.4461538461538461,0.13513513513513511,0.33665008291873966,0.35353535353535354
"Overall_Severity_Overall_Medium, Air_Severity_Air_Low",Water_Severity_Water_Medium,0.05,0.595,0.05,1.0,1.680672268907563,1.0,0.020250000000000004,inf,0.4263157894736843,0.08403361344537816,1.0,0.542016806722689
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low, Energy_Recovery_Level_Medium_Recovery",Water_Severity_Water_Medium,0.055,0.595,0.055,1.0,1.680672268907563,1.0,0.022275000000000003,inf,0.4285714285714286,0.09243697478991597,1.0,0.546218487394958
"Overall_Severity_Overall_Medium, Water_Severity_Water_Low, Soil_Severity_Soil_Low",Air_Severity_Air_High,0.135,0.4,0.09,0.6666666666666666,1.6666666666666665,1.0,0.03599999999999999,1.7999999999999998,0.46242774566473976,0.20224719101123592,0.44444444444444436,0.4458333333333333
"Overall_Severity_Overall_Medium, Water_Severity_Water_Low, Energy_Consumption_Level_Medium_Consumption",Air_Severity_Air_High,0.09,0.4,0.06,0.6666666666666666,1.6666666666666665,1.0,0.024,1.7999999999999998,0.43956043956043955,0.13953488372093023,0.44444444444444436,0.4083333333333333
"Air_Severity_Air_High, Energy_Consumption_Level_Low_Consumption, Water_Severity_Water_Medium",Energy_Recovery_Level_High_Recovery,0.09,0.335,0.05,0.5555555555555556,1.658374792703151,1.0,0.019850000000000003,1.49625,0.43626373626373627,0.13333333333333333,0.3316624895572264,0.3524046434494196
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption, Water_Severity_Water_Medium",Energy_Recovery_Level_High_Recovery,0.09,0.335,0.05,0.5555555555555556,1.658374792703151,1.0,0.019850000000000003,1.49625,0.43626373626373627,0.13333333333333333,0.3316624895572264,0.3524046434494196
"Air_Severity_Air_High, Water_Severity_Water_Low","Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery",0.16,0.265,0.07,0.43750000000000006,1.6509433962264153,1.0,0.027600000000000006,1.3066666666666666,0.4693877551020409,0.19718309859154928,0.23469387755102047,0.35082547169811323
"Energy_Recovery_Level_Low_Recovery, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.075,0.405,0.05,0.6666666666666667,1.646090534979424,1.0,0.019625000000000004,1.7850000000000004,0.4243243243243243,0.11627906976744186,0.43977591036414576,0.39506172839506176
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption","Overall_Severity_Overall_Medium, Energy_Recovery_Level_Medium_Recovery",0.15,0.265,0.065,0.43333333333333335,1.6352201257861636,1.0,0.02525,1.2970588235294118,0.4570135746606335,0.1857142857142857,0.2290249433106576,0.3393081761006289
"Energy_Consumption_Level_Low_Consumption, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery",0.185,0.265,0.08,0.43243243243243246,1.631820499745028,1.0,0.030975000000000003,1.295,0.4750766871165645,0.21621621621621623,0.22779922779922782,0.3671596124426313
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_Medium_Consumption, Energy_Recovery_Level_Medium_Recovery",Air_Severity_Air_High,0.1,0.4,0.065,0.65,1.625,1.0,0.024999999999999994,1.7142857142857144,0.4273504273504272,0.14942528735632185,0.4166666666666667,0.40625
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.09,0.48,0.07,0.7777777777777779,1.6203703703703707,1.0,0.02680000000000001,2.340000000000001,0.42072213500784944,0.14000000000000004,0.572649572649573,0.46180555555555564
"Air_Severity_Air_High, Water_Severity_Water_Medium, Soil_Severity_Soil_Low","Overall_Severity_Overall_Medium, Energy_Consumption_Level_Medium_Consumption",0.16,0.27,0.07,0.43750000000000006,1.6203703703703705,1.0,0.026800000000000004,1.2977777777777777,0.45578231292517013,0.19444444444444445,0.2294520547945206,0.34837962962962965
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption, Energy_Recovery_Level_Low_Recovery",Air_Severity_Air_High,0.085,0.4,0.055,0.6470588235294117,1.6176470588235292,1.0,0.020999999999999998,1.6999999999999995,0.4172876304023844,0.12790697674418602,0.4117647058823528,0.3922794117647058
"Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Low","Air_Severity_Air_Medium, Soil_Severity_Soil_Low",0.13,0.31,0.065,0.5,1.6129032258064517,1.0,0.0247,1.38,0.43678160919540227,0.17333333333333334,0.2753623188405797,0.3548387096774194
"Energy_Recovery_Level_Low_Recovery, Energy_Consumption_Level_High_Consumption","Air_Severity_Air_Medium, Soil_Severity_Soil_Low",0.11,0.31,0.055,0.5,1.6129032258064517,1.0,0.020900000000000002,1.38,0.4269662921348315,0.1506849315068493,0.2753623188405797,0.33870967741935487
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_Low_Consumption","Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",0.09,0.345,0.05,0.5555555555555556,1.6103059581320454,1.0,0.018950000000000005,1.4737500000000001,0.41648351648351656,0.12987012987012989,0.3214588634435963,0.3502415458937198
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption","Overall_Severity_Overall_Medium, Water_Severity_Water_Low",0.15,0.25,0.06,0.4,1.6,1.0,0.0225,1.25,0.4411764705882353,0.1764705882352941,0.20000000000000004,0.32
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium, Water_Severity_Water_Low",Soil_Severity_Soil_Medium,0.095,0.33,0.05,0.5263157894736842,1.5948963317384368,1.0,0.01865,1.4144444444444442,0.41215469613259664,0.13333333333333333,0.2930086410054988,0.33891547049441784
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption",Energy_Recovery_Level_High_Recovery,0.15,0.335,0.08,0.5333333333333333,1.5920398009950247,1.0,0.02975,1.425,0.43749999999999994,0.19753086419753088,0.29824561403508765,0.38606965174129354
"Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Low",Air_Severity_Air_High,0.11,0.4,0.07,0.6363636363636365,1.590909090909091,1.0,0.026000000000000002,1.6500000000000004,0.4173354735152488,0.15909090909090912,0.3939393939393941,0.40568181818181825
"Overall_Severity_Overall_Medium, Water_Severity_Water_Low, Energy_Consumption_Level_Low_Consumption",Air_Severity_Air_High,0.095,0.4,0.06,0.631578947368421,1.5789473684210524,1.0,0.021999999999999992,1.6285714285714283,0.4051565377532227,0.13793103448275862,0.3859649122807017,0.3907894736842105
"Air_Severity_Air_High, Energy_Recovery_Level_Medium_Recovery",Energy_Consumption_Level_Medium_Consumption,0.125,0.33,0.065,0.52,1.5757575757575757,1.0,0.02375,1.3958333333333333,0.4175824175824176,0.16666666666666666,0.28358208955223885,0.3584848484848485
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Energy_Recovery_Level_Medium_Recovery",Energy_Consumption_Level_Medium_Consumption,0.125,0.33,0.065,0.52,1.5757575757575757,1.0,0.02375,1.3958333333333333,0.4175824175824176,0.16666666666666666,0.28358208955223885,0.3584848484848485
"Energy_Recovery_Level_Low_Recovery, Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",Air_Severity_Air_Medium,0.07,0.455,0.05,0.7142857142857143,1.5698587127158556,1.0,0.01815,1.9074999999999998,0.3903225806451613,0.10526315789473684,0.4757536041939712,0.41208791208791207
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_Low_Consumption, Overall_Severity_Overall_Medium",Air_Severity_Air_Medium,0.07,0.455,0.05,0.7142857142857143,1.5698587127158556,1.0,0.01815,1.9074999999999998,0.3903225806451613,0.10526315789473684,0.4757536041939712,0.41208791208791207
"Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Medium","Energy_Recovery_Level_Medium_Recovery, Overall_Severity_Overall_Medium",0.205,0.265,0.085,0.41463414634146345,1.5646571560055225,1.0,0.030675000000000008,1.255625,0.45394006659267483,0.22077922077922082,0.20358387257341964,0.3676944316612978
"Water_Severity_Water_Medium, Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Energy_Consumption_Level_Low_Consumption,0.105,0.335,0.055,0.5238095238095238,1.5636105188343994,1.0,0.019825000000000002,1.3965,0.40274250888776036,0.14285714285714285,0.2839240959541711,0.3439943141435679
"Overall_Severity_Overall_Medium, Water_Severity_Water_Low, Energy_Recovery_Level_Low_Recovery",Air_Severity_Air_High,0.08,0.4,0.05,0.625,1.5625,1.0,0.018000000000000002,1.5999999999999999,0.391304347826087,0.11627906976744186,0.375,0.375
"Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Medium, Energy_Consumption_Level_Low_Consumption",Air_Severity_Air_High,0.08,0.4,0.05,0.625,1.5625,1.0,0.018000000000000002,1.5999999999999999,0.391304347826087,0.11627906976744186,0.375,0.375
"Air_Severity_Air_Low, Overall_Severity_Overall_Low",Water_Severity_Water_Low,0.095,0.405,0.06,0.631578947368421,1.5594541910331383,1.0,0.021524999999999996,1.6149999999999998,0.39640883977900543,0.13636363636363635,0.3808049535603714,0.3898635477582846
"Water_Severity_Water_Medium, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Energy_Consumption_Level_Low_Consumption,0.115,0.335,0.06,0.5217391304347826,1.5574302401038285,1.0,0.021474999999999994,1.3904545454545454,0.4044256120527306,0.15384615384615383,0.2808107224583197,0.3504218040233614
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_High_Consumption","Air_Severity_Air_Medium, Water_Severity_Water_Medium",0.25,0.27,0.105,0.42,1.5555555555555554,1.0,0.03749999999999999,1.2586206896551722,0.4761904761904761,0.25301204819277107,0.20547945205479448,0.4044444444444444
